Unnamed: 0,Linkedin_name,longitude,latitude,name,foundingYear,firm_type,sector,staffCount,staffCountRange,country,headquarter,orgtype,Biomass_degree_centrality,Biofuels_degree_centrality,Biogas_degree_centrality,Wind_degree_centrality,Offshore_Wind_degree_centrality,Solar_degree_centrality,Concentrated_Solar_degree_centrality,Waste_to_Heat_degree_centrality,Direct_Air_Capture_degree_centrality,Carbon_Capture_And_Storage_degree_centrality,Biochar_degree_centrality,Carbon_Direct_Removal_degree_centrality,BECCS_degree_centrality,Hydrogen_degree_centrality,Nuclear_Energy_degree_centrality,Nuclear_Fusion_degree_centrality,Hydro_Energy_degree_centrality,Geothermal_degree_centrality,Battery_degree_centrality,Electric_Vehicles_degree_centrality,Sustainable_Aviation_Fuels_degree_centrality,E_Fuels_degree_centrality,Marine_Energy_degree_centrality,Heat_Pumps_degree_centrality,Railway_degree_centrality,Electric_Shipping_degree_centrality,Electric_Aviation_degree_centrality,Fuel_Cell_Aviation_degree_centrality
126,city-of-duluth,39.7837,-100.446,City of Duluth,,Governmental Organization,Other Sectors,447.0,"{'start': 501, 'end': 1000}",US,1.0,Governmental organizations,,,,,,0.0005132638176022,,0.0010413954699297,,,,,,,,,,0.0051884216275259,0.0007119226098245,0.0006007067137809,,,,,,,,
136,propagateag,42.5423,-76.6661,Propagate,2017.0,"Service Provider, Accelerator/Incubator",Agriculture,22.0,"{'start': 11, 'end': 50}",US,1.0,Incubators/Accelerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,samueli-academy,33.7628,-117.902,Samueli Academy,2013.0,"University

(Samueli Academy is classified as a University since it is an educational institution, but since it specifically mentions being a public charter high school, a more accurate classification may be ""Other"" to represent an educational organization, which is not listed in the provided categories.)","Education (Not listed in the predefined sectors - best fit is ""Other Sectors"")",67.0,"{'start': 51, 'end': 200}",US,1.0,Research organizations,,,,,,5.4027770273920795e-05,,,,,,,,,,,,,4.187780057791365e-05,7.06713780918728e-05,,,,,,,,
145,ngumc,33.8463,-84.3115,The North Georgia Conference of The United Methodist Church,,Other (Religious Institution),Other Sectors,81.0,"{'start': 1001, 'end': 5000}",US,1.0,Other,,,,,,0.0001620833108217,,,,,,,,,,,,,,,,,,,,,,
167,yurok-tribe,39.7837,-100.446,Yurok Tribe,,Other,Other Sectors,260.0,"{'start': 501, 'end': 1000}",US,1.0,Other,,,,0.0007159773090268,0.0014896298842672,,,,,,,,,,,,,,,,,,,,,,,
173,39-north,38.6811,-90.3947,39North,2016.0,"Research Institute, Accelerator/Incubator",Other Sectors,15.0,"{'start': 2, 'end': 10}",US,1.0,Incubators/Accelerators,,0.0001978239366963,,,,,,,,,,,,,,,,,,,,,,,,,,
189,thousand-trails,39.7837,-100.446,Thousand Trails,,"Other

(Note: The entry ""nan"" typically stands for 'not a number' and is used to indicate missing or undefined data. Without actual information on the organization, it cannot be classified into any of the given categories.)",Other Sectors,172.0,"{'start': 501, 'end': 1000}",US,1.0,Other,,,,,,5.4027770273920795e-05,,,,,,,,,,,,,,,,,,,,,,
194,kmx-corporation,41.8793,-73.4768,KMX Technologies,2020.0,"Manufacturer, Research Institute",Other Sectors,20.0,"{'start': 11, 'end': 50}",US,1.0,Research organizations,,,,,,,,,,,,,,,,,,,4.187780057791365e-05,,,,,,,,,
195,hevendrones,25.7837,-80.1898,HevenDrones,2019.0,Manufacturer,Other ICT,38.0,"{'start': 11, 'end': 50}",US,1.0,Other industry,,,,,,,,,,,,,,0.0001376083665886,,,,,,,,,,,,,,0.0003580379520229
198,texas-southern-university,29.7211,-95.3612,Texas Southern University,1927.0,University,Other Sectors,2175.0,"{'start': 1001, 'end': 5000}",US,1.0,Research organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,state-of-massachusetts,39.7837,-100.446,State of Massachusetts,,Governmental Organization,Other Sectors,1013.0,"{'start': 2, 'end': 10}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,0.000740192450037,,,,
206,heartlandwater,35.839,-86.3982,"Heartland Water Technology, Inc.",2008.0,Manufacturer,Other Sectors,62.0,"{'start': 51, 'end': 200}",US,1.0,Other industry,,,0.000145836371591,,,,,,,,,,,0.0001376083665886,,,,,,,,,,,,,,
222,tatung,39.7837,-100.446,Tatung,1918.0,Manufacturer,"Other ICT, Other Manufacturing",887.0,{'start': 10001},US,1.0,Other industry,,,,5.507517761744782e-05,0.0001145869141744,,,,,,,,,,,,,,8.37556011558273e-05,,,,,,,,,
224,home-depot-at-home-services,39.7837,-100.446,Home Depot,,Service Provider,Other Construction,20103.0,"{'start': 5001, 'end': 10000}",US,1.0,Service sector,,,,,,,,,,,,,,0.0001376083665886,,,,,,,,,,,,,,
227,construction-for-change,47.6038,-122.33,Construction for Change,2007.0,Non Governmental Organization,Other Construction,17.0,"{'start': 2, 'end': 10}",US,1.0,Other,,,,,,0.0001350694256848,,,,,,,,,,,,,0.0002093890028895,,,,,,,,,
240,u-s--space-&-rocket-center,34.7114,-86.6546,U.S. Space & Rocket Center,1970.0,"Museum, Education Provider",Other Sectors,381.0,"{'start': 501, 'end': 1000}",US,1.0,Other,,,,,,5.4027770273920795e-05,,,,,,,,,,,,,8.37556011558273e-05,,,,,,,,,
244,bpventures,44.7978,-106.955,BP Ventures LLC,2020.0,"Service Provider, Consulting, Other Financing Organization
",Other Sectors,3.0,"{'start': 11, 'end': 50}",US,1.0,Other Finance,,,,,,,,,,0.0016490765171503,,,,,,,,,,,,,,,,,,
248,berkshire-hathaway,39.7837,-100.446,Berkshire Hathaway,,Other,Other Sectors,7044.0,{'start': 10001},US,1.0,Other,,,,0.0002753758880872,,5.4027770273920795e-05,,,,,,,,0.0002293472776478,,,,,,0.0002473498233215,,,,,,,,
258,arf,39.7837,-100.446,ARF,,"Other

(Note: ""nan"" typically signifies ""Not a Number"" or non-existent data in data processing contexts. Since there is no information to classify, it is categorized as ""Other."")",Other Sectors,261.0,"{'start': 11, 'end': 50}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,0.000297619047619,,,
262,furnomaterials,37.3894,-122.083,Furno Materials,2020.0,Manufacturer,Other Construction,8.0,"{'start': 2, 'end': 10}",US,1.0,Other industry,,,,,,,,,,0.000164907651715,,,,,,,,,,,,,,,,,,
271,ivaldi-group,39.7837,-100.446,Ivaldi Group,2016.0,"Manufacturer, Service Provider","Other Manufacturing, Other Sectors",14.0,"{'start': 11, 'end': 50}",US,1.0,Other industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,university-of-puerto-rico-mayaguez,25.9342,-80.1869,University of Puerto Rico-Mayaguez,1911.0,University,Other Sectors,1345.0,"{'start': 1001, 'end': 5000}",US,1.0,Research organizations,,,,,,0.0001350694256848,,,,,,,,,,,,,0.0001256334017337,,,,,,,,,
275,2934,40.7032,-74.0091,S&P Global,,"Service Provider, Other Financing Organization",Other Sectors,31536.0,{'start': 10001},US,1.0,Other Finance,,,,5.507517761744782e-05,,2.7013885136960397e-05,,,,0.000164907651715,,,,0.0001376083665886,,,,,4.187780057791365e-05,,0.0002662406815761,,,,,,,
280,acadiana-legal-services-corporation,30.2111,-92.0115,Acadiana Legal Service Corporation,,Service Provider,Other Sectors,45.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,0.0001080555405478,,,,,,,,,,,,,,,,,,,,,,
282,city-of-knoxville,39.7837,-100.446,City of Knoxville,,Governmental Organization,Other Sectors,753.0,"{'start': 1001, 'end': 5000}",US,1.0,Governmental organizations,,,,,,5.4027770273920795e-05,,,0.0035211267605633,,,,,,,,,,,0.0001060070671378,,,,,,,,
286,context-labs-bv,42.3659,-71.0808,Context Labs BV,2013.0,Other,"Other ICT, Other Sectors",93.0,"{'start': 51, 'end': 200}",US,1.0,Other,,,,,,,,,,0.000164907651715,,,,,,,,,,,,,,,,,,
287,land-of-sky-regional-council,35.58,-82.6041,Land of Sky Regional Council,,Governmental Organization,Other Sectors,85.0,"{'start': 51, 'end': 200}",US,1.0,Governmental organizations,,,,,,8.104165541088119e-05,,,,,,,,,,,,,0.0001256334017337,3.53356890459364e-05,,,,,,,,
288,california-workforce-development-board,39.7837,-100.446,California Workforce Development Board,1998.0,Governmental Organization,Other Sectors,84.0,"{'start': 51, 'end': 200}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,0.0002960769800148,,,,
290,ctgtech,32.844,-97.1431,CTG Tech | Managed IT Services,1982.0,Service Provider,Other ICT,17.0,"{'start': 11, 'end': 50}",US,1.0,Service sector,,,,,,0.0001080555405478,,,,,,,,,,,,,0.0001675112023116,,,,,,,,,
297,cet,39.7837,-100.446,CET,,"N/A

Explanation: The provided text ""nan"" likely represents ""not a number,"" indicating missing, undefined, or unrepresentable data. Without a valid description of an organization, classification into one of the specified categories is not possible.",Other Sectors,1076.0,"{'start': 201, 'end': 500}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,,,,,0.0005921539600296,,,,
302,mucker,33.995,-118.467,Mucker Capital,2011.0,Venture Capital,Other Sectors,70.0,"{'start': 11, 'end': 50}",US,1.0,Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,evoqua-water-technologies,38.8733,-77.0015,Evoqua Water Technologies,,"Manufacturer, Service Provider",Other Sectors,3074.0,{'start': 10001},US,1.0,Other industry,,,0.0004375091147732,,,,,,,,,,,,,,,,,,,,,,,,,
305,blockchainsinc,36.1673,-115.149,"Blockchains, Inc.",2017.0,Service Provider,Software,95.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,5.4027770273920795e-05,,,,,,,,,,,,,,,,,,,,,,
306,contrarycapital,37.7793,-122.419,Contrary,2016.0,Venture Capital,Other Sectors,140.0,"{'start': 11, 'end': 50}",US,1.0,Venture Capital,,,,,,,,,,,,0.0040558810274898,,,,,,,,,,,,,,,,
